KGISTalukN,Income
Afzalpur,35208
Aland,23823
Alur,28038
Anekal,268480
Ankola,29742
Arkalgud,54653
Arsikere,28651
Athani,29796
Aurad,18587
Badami,31223
Bagalkote,52125
Bagepalli,31216
Bailhongal,29071
Ballari,41877
Bangalore (North),231965
Bangalore North(Additional),231965
Bangalore-East,42735
Bangalore-South,75474
BANGARPET,41165
Bantwal,54572
Basavakalyan,26174
Basavan Bagewadi,35603
Belagavi,52013
Belthangady,50267
Belur,29325
Bhadravathi,57107
Bhalki,21088
Bhatkal,27216
Bidar,34824
Bijapur,29559
Bilagi,37738
Byadagi,27311
Chiknayakanahalli,26026
Challakere,23942
Chamarajanagara,27734
Channagiri,30662
Channapatna,49399
Channarayapatna,21225
chikballapur,47168
Chikmagalur,50851
Chikkodi,34252
Chincholi,24663
Chinthamani,34022
chitradurga,43845
Chittapur,20568
Davanagere,43879
Devanahalli,40093
Devdurga,25425
Dharwad,119802
Doddaballapura,76081
Gadag,42495
Gangavathi,26850
Gokak,31969
gauribidanur,28730
Gubbi,37465
gudibande,33167
Gulbarga,31759
Gundalpet,28315
Hadagali,22826
Hagaribommanahalli,30568
Haliyal,27812
Hangal,21195
Harapanahalli,30644
Harihar,38153
Hassan,41538
Haveri,30044
Heggadadevanakote,31199
Hirekerur,31103
hiriyur,34818
holalkere,31482
Holenarasipura,33394
Honnali,36107
Honnavar,30989
hosadurga,37045
Hosanagar,61405
Hoskote,75749
Hospet,40764
Hubli,50079
Hukkeri,32823
Humnabad,22243
Hungund,36765
Hunsur,38445
Indi,26750
Jagaluru,27421
Jamakhandi,23710
Jevargi,38726
K.R.Nagar,29499
Kadur,26321
Kalgatgi,54051
Kanakpura,29796
Karkala,73676
Karwar,54850
Khanapur,39140
Kolhara,35769
Kollegala,27788
Kollegala(Hanur),27788
Koppa,50363
koppal,40175
Koratagere,23372
Krishnarajpet,33536
Kudligi,23118
Kumta,30086
Kundapur,51765
Kundgol,32758
Kunigal,34929
Kushtagi,28105
Lingsugur,23796
Maddur,25388
Madhugiri,28740
Madikeri,90370
Magadi,28805
Malavalli,25316
Malur,37818
Mandya,26205
Mangalore,94716
Manvi,39544
Molakalmuru,33823
Muddebihal,22987
Mudhol,27282
Mudigere,61078
Mulabagilu,50478
Mundargi,35737
Mundgod,26813
Mysuru,55802
Nagamangala,35473
Nanjangud,35827
Naragund,46362
Navalgund,59552
Nelamangala,78876
Narasimharajapura,44578
Pandavpura,37182
Pavagada,31479
Piriyapatna,26891
Puttur,53245
Raibag,24679
Raichur,34534
Ramanagar,64012
Ramdurg,29241
Ranebennur,29429
Ron,22147
Sagara,46925
Sakleshpura,32986
Sandur,299344
Savadatti,28806
Savanur,24520
Sedam,34006
Shahapur,48599
Shidlagatta,26482
Shiggaon,46090
shikaripura,32463
Shirahatti,27452
shimoga,41436
Shorapur,40675
Siddapur,44899
Sindagi,28022
Sindhanur,25437
Sira,25251
Siraguppa,37315
Sirsi,44326
somawarpet,54253
Soraba,44072
Sringeri,51013
Srinivaspura,43671
Srirangapatna,25539
Sulya,81882
Supa,44251
T.Narasipura,37830
Tarikere,26364
Thirthahalli,31810
Tiptur,33762
Tumkur,49119
Turuvekere,27521
Udupi,60920
Virajpet,68914
Yadgir,35020
Yalandur,33266
yelburga,24353
Yellapur,33966
